지역명,가게이름,별점,리뷰갯수,사장리뷰,얼마이상,소요시간
가회동,마산해물아구찜-낙원동본점,★ 4.7,489,683,"19,000원 이상 배달",25분
가회동,파리바게뜨-종로세무서점,★ 3.8,4,5,"12,000원 이상 배달",55~65분
가회동,더블식스버거,★ 4.6,80,405,"12,000원 이상 배달",27분
가회동,알부자찜전문점,★ 4.8,281,5,"30,000원 이상 배달",60~70분
가회동,더피자필,★ 4.8,572,14,"20,000원 이상 배달",27분
가회동,백년가짬뽕-광화문직영점,★ 4.7,950,7,"20,000원 이상 배달",23분
가회동,뎁짜이,★ 4.7,166,42,"12,000원 이상 배달",24분
가회동,파리바게뜨-혜화로타리점,★ 4.8,817,38,"12,000원 이상 배달",55~65분
가회동,홍콩반점0410-대학로점,★ 4.5,945,65,"13,000원 이상 배달",27분
가회동,주시브로스-그랑서울점,★ 4.6,487,85,"10,000원 이상 배달",24분
가회동,육수당-대학로점,★ 4.9,254,20,"5,000원 이상 배달",35~45분
가회동,KFC-종로점,★ 4.6,303,952,"8,000원 이상 배달",48~58분
가회동,오부장보쌈족발-종로점,★ 4.8,171,283,"13,000원 이상 배달",56~66분
가회동,혜화현초밥,★ 4.8,9962,79,"10,000원 이상 배달",21분
가회동,싸움의고수-성균관대점,★ 4.8,160,58,"7,500원 이상 배달",22분
가회동,코코버블티-명동점,★ 4.7,145,37,"11,000원 이상 배달",29분
가회동,호랑이카레-북촌점,★ 4.7,191,11,"15,000원 이상 배달",20~30분
가회동,만복국수찌개&보쌈,★ 4.8,685,68,"10,000원 이상 배달",24분
가회동,대족장,★ 4.7,1689,17,"29,000원 이상 배달",50~60분
가회동,요거트맨 종로서적점,★ 4.6,1480,29,"10,900원 이상 배달",24분
가회동,코코이찌방야-종로점,★ 4.7,126,83,"10,000원 이상 배달",29분
가회동,자연담은도시락 광화문점,★ 4.5,186,84,"10,000원 이상 배달",23분
가회동,회바다요,★ 4.9,142,84,"24,000원 이상 배달",45~55분
가회동,후라이드참잘하는집-서대문점,★ 4.9,651,33,"14,000원 이상 배달",42~52분
가회동,롯데리아-혜화점,★ 4.7,174,2,"9,000원 이상 배달",37~47분
가회동,긴자료코-대학로점,★ 4.7,69,21,"10,000원 이상 배달",25분
